Title,Image_Name,Cleaned_Ingredients,ingredient_list,multi_hot
Marble Bundt Cake,marble-bundt-cake,"['1 cup (8 ounces or 230 grams) unsalted butter, at room temperature', '2 cups (400 grams) granulated sugar', '2 large eggs', '1 teaspoon (5 ml) vanilla extract', '2/3 cup (160 grams) sour cream', '1 1/2 cups (355 ml) milk, preferably whole', '1 teaspoon baking soda', '3/4 teaspoon fine sea or table salt', '2 1/3 cups (305 grams) all-purpose flour', '2 ounces (55 grams) white chocolate, melted and cooled slightly', '1/3 cup (25 grams) cocoa powder (any variety), sifted if lumpy', '2 ounces (55 grams) dark or bittersweet chocolate, melted and cooled slightly', '6 tablespoons (90 ml) heavy cream', '1 cup (6 ounces or 190 grams) chopped dark or bittersweet chocolate or chocolate chips']","['butter', 'ated sugar', 'eggs', 'vanilla extract', 'cream', 'milk', 'baking soda', 'sea', 'all-purpose flour', 'white chocolate', 'cocoa powder', 'dark', 'bittersweet chocolate', 'heavy cream', 'chocolate']",[0 0 0 ... 0 0 0]
Couscous and Mograbiah with Oven-Dried Tomatoes,couscous-and-mograbiah-with-oven-dried-tomatoes-51185030,"['16 large, ripe plum tomatoes, cut in half lengthwise', '2 tbsp muscovado sugar', '2/3 cup / 150 ml olive oil', '2 tbsp balsamic vinegar', '2 onions, thinly sliced', '1 1/2 cups / 250 g mograbiah', '1 2/3 cups / 400 ml chicken or vegetable stock', 'A pinch of saffron threads', '1 1/2 cups / 250 g couscous', '1 tbsp tarragon leaves', '1 tbsp nigella seeds', '3 1/2 ounces / 100 g Labneh', 'coarse sea salt and freshly ground black pepper']","['plum tomatoes', 'muscovado sugar', 'olive oil', 'balsamic vinegar', 'onions', 'mograbiah', 'chicken', 'saffron threads', 'couscous', 'tarragon leaves', 'nigella seeds', 'labneh', 'sea salt', 'black pepper']",[0 0 0 ... 0 0 0]
Date Night Pork Chop,date-night-pork-chop-with-apple-endive-salad,"['1 (1-lb.) bone-in pork loin chop (1""–1 1/2"" thick)', 'Kosher salt', 'Freshly ground black pepper', '3 tsp. honey, divided', '5 Tbsp. extra-virgin olive oil, divided', '3 Tbsp. skin-on hazelnuts, crushed', '1 medium shallot, finely chopped', '1 lemon, halved', '1 small Pink Lady apple', '1 large or 2 small endive, leaves separated', '1 oz. Parmesan', 'shaved', 'broken into small pieces']","['pork loin chop', 'kosher salt', 'black pepper', 'honey', 'extra-virgin olive oil', 'hazelnuts', 'shallot', 'lemon', 'pink lady apple', 'parmesan']",[0 0 0 ... 0 0 0]
Flank Steak with Melon Relish,flank-steak-with-melon-relish-240231,"['1 large cantaloupe, peeled, seeded and diced', '1 medium red onion, diced', '1 cup Italian parsley, chopped', '1/2 cup fresh mint, chopped', '2 tablespoon white balsamic (or cider) vinegar', '2 tablespoon extra-virgin olive oil', '3 pounds flank steaks', '2 teaspoon sea salt', '1/2 teaspoon freshly ground black pepper']","['cantaloupe', 'red onion', 'italian parsley', 'mint', 'white balsamic', 'vinegar', 'extra-virgin olive oil', 'flank steaks', 'sea salt', 'black pepper']",[0 0 0 ... 0 0 0]
Shawarma-Spiced Braised Leg of Lamb,shawarma-spiced-braised-leg-of-lamb,"['1 (6-pound) bone-in leg of lamb, shank attached, frenched', 'Kosher salt, freshly ground pepper', '2 tablespoons cumin seeds', '2 teaspoons caraway seeds', '2 teaspoons coriander seeds', '2 Thai chiles, very finely chopped', '4 garlic cloves, finely grated', '1/2 cup olive oil', '1 tablespoon paprika', '1/2 teaspoon ground cinnamon', '1/2 teaspoon caraway seeds', '1/2 teaspoon coriander seeds', '1/4 cup olive oil', '1 large onion, thinly sliced', '1 tablespoon ancho chile powder', '1 tablespoon chipotle chile powder', '1 teaspoon ground turmeric', '1/2 teaspoon freshly ground black pepper', '1/4 teaspoon ground cinnamon', '1 (28-ounce) can crushed tomatoes', '4 cups low-sodium chicken broth', 'Kosher salt', 'Herb Salad with Pickled Red Onion and Preserved Lemon (for serving)', 'A spice mill or a mortar and pestle']","['lamb', 'kosher salt', 'pepper', 'cumin seeds', 'caraway seeds', 'coriander seeds', 'thai chiles', 'garlic', 'olive oil', 'paprika', 'cinnamon', 'onion', 'ancho chile powder', 'chipotle chile powder', 'turmeric', 'black pepper', 'ed tomatoes', 'chicken broth', 'herb salad', 'red onion', 'lemon', 'spice mill']",[0 0 0 ... 0 0 0]
Crudités with Lemon-Pesto Goat Cheese Dip,crudites-with-lemon-pesto-goat-cheese-dip-240665,"['Assorted vegetables (such as cauliflower and broccoli florets, carrot and celery sticks, bell pepper strips, and jicama sticks)', '10 ounces soft fresh goat cheese, room temperature', '2/3 cup sour cream', '1/4 cup plus 2 tablespoons purchased pesto', '2 tablespoons fresh lemon juice', '1 1/2 teaspoons grated lemon peel', '2 tablespoons toasted pine nuts']","['as', 'ed vegetables', 'goat cheese', 'cream', 'pesto', 'lemon juice', 'lemon peel', 'pine nuts']",[0 0 0 ... 0 0 0]
Berry-Brandy Toddies with Raspberries and Cream,berry-brandy-toddies-with-raspberries-and-cream-233907,"['1/4 cup brandy', '2 tablespoons Chambord or other raspberry liqueur']","['brandy', 'chambord']",[0 0 0 ... 0 0 0]
Baked Breaded Cauliflower,baked-breaded-cauliflower-51139400,"['1 large cauliflower (about 3 pounds), trimmed of leaves and coarse bottom stem, then cooked until crisp-tender (see Note above)', '2 1/2 tablespoons unsalted butter', '6 large scallions, trimmed and finely chopped (white part only)', '3 tablespoons all-purpose flour', '3/4 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon freshly grated nutmeg', '2 cups half-and-half, at room temperature', '1/2 cup freshly grated Parmigiano Reggiano (see Tip above)', '1/3 cup moderately coarse dry bread crumbs mixed with 2 tablespoons freshly grated Parmigiano Reggiano and 1 tablespoon melted unsalted butter (Topping)']","['cauliflower', 'ted butter', 'scallions', 'all-purpose flour', 'salt', 'black pepper', 'nutmeg', 'half-', 'f', 'parmigiano reggiano', 'bread crumbs mix']",[0 0 0 ... 0 0 0]
Meyer Lemon Budino,meyer-lemon-budino-235859,"['1/2 cup plus 2 tablespoons sugar', '3 large eggs, separated', '1/4 cup all purpose flour', '1/4 cup fresh Meyer lemon juice', '2 tablespoons fresh regular lemon juice', '2 tablespoons finely grated Meyer lemon peel', '3/4 cup plus 2 tablespoons whole milk', '1/4 teaspoon salt', 'Whipped cream (optional)']","['sugar', 'eggs', 'flour', 'meyer lemon juice', 'lemon juice', 'meyer lemon peel', 'milk', 'salt', 'whipped cream']",[0 0 0 ... 0 0 0]
Texas-Style Barbecued Brisket,texas-style-barbecued-brisket-242249,"['Indirect grilling', '4 to 8 hours for curing the meat (optional); also, allow yourself about 6 hours cooking time', '6 cups hickory or mesquite chips or chunks, soaked for 1 hour in cold water to cover and drained', '1 beef brisket (5 to 6 pounds), with a layer of fat at least 1/4 inch thick, preferably 1/2 inch thick', '1 tablespoon coarse salt (kosher or sea)', '1 tablespoon chili powder', '2 teaspoons sugar', '1 teaspoon freshly ground black pepper', '1 teaspoon ground cumin']","['grilling', 'meat', 'hickory', 'beef brisket', 'salt', 'chili powder', 'sugar', 'black pepper', 'cumin']",[0 0 0 ... 0 0 0]
Breakfast Burritos,breakfast-burritos-355417,"['1 large boiling potato (8 ounces), peeled and cut into 1/3-inch dice', '4 (9-to 11-inch) flour tortillas', '""7 to 8 ounces Mexican chorizo (see cooks note, below), casings removed"", 4 large eggs', '1 teaspoon water', '1 tablespoons olive oil', '1 cup coarsely grated Monterey Jack (about 4 ounces)', '1 avocado, sliced', 'About 1/4 cup fresh or bottled salsa']","['potato', 'flour tortillas', 'mexican chorizo', 'water', 'olive oil', 'monterey jack', 'avocado', 'salsa']",[0 0 0 ... 0 0 0]
Shortbread Cookies,shortbread-cookies-237919,"['1 cup all purpose flour', '1/4 cup sugar', '1/4 teaspoon salt', '1/2 cup (1 stick) chilled unsalted butter', 'cut into 1/2-inch cubes']","['flour', 'sugar', 'salt', 'ed', 'ted butter']",[0 0 0 ... 0 0 0]
Broiled Lemon Thyme Pollock,broiled-lemon-thyme-pollock-350901,"['4 (6-to 7-ounces) pieces pollock fillet', '1/2 cup mayonnaise', '2 teaspoons grated lemon zest', '1 tablespoon fresh lemon juice', '1 tablespoon finely chopped shallot', '1 1/2 teaspoons anchovy paste', '2 teaspoons chopped thyme']","['pollock fillet', 'mayonnaise', 'lemon zest', 'lemon juice', 'shallot', 'anchovy paste', 'thyme']",[0 0 0 ... 0 0 0]
Tiki Cantaloupe-Coconut Cocktail,tiki-cantaloupe-coconut-cocktail,"['1 medium cantaloupe', '1/2 cup unsweetened coconut milk', '1/2 cup tequila', '1/4 cup Midori or tequila', '1/4 cup fresh lime juice', '1/4 cup agave nectar', 'Mint sprigs and lime wheels (for serving)']","['cantaloupe', 'coconut milk', 'tequila', 'midori', 'lime juice', 'agave nectar', 'mint', 'lime']",[0 0 0 ... 0 0 0]
"Melon, Basil, and Feta Salad With Balsamic–Red Wine Reduction",melon-basil-and-feta-salad-with-balsamicred-wine-reduction,"['3 tablespoons shelled pistachios', '3 tablespoons almonds', 'Finely grated zest and juice of 4 limes', '1 scant cup olive oil (200 ml/7 fl oz)', '1/2 cup cherry tomatoes, halved', '1/4 canteloupe (250 grams), cut into 1/2-inch cubes', '1/4 watermelon (250 grams), cut into 1/2-inch cubes', '7 oz (200 grams) prosciutto or smoked fish (optional), torn into bite-size pieces', '1 1/3 cups crumbled marinated feta cheese (200 grams/7 oz)', '1 large handful basil, leaves picked', '4 cups balsamic vinegar', '1/2 cup Marsala', '1/2 cup red wine']","['pistachios', 'almonds', 'zest', 'juice', 'lime', 'olive oil', 'cherry tomatoes', 'canteloupe', 'watermelon', 'prosciutto', 'ted feta cheese', 'basil', 'balsamic vinegar', 'marsala', 'red wine']",[0 0 0 ... 0 0 0]
Elvis Presley's Favorite Pound Cake,elvis-presleys-favorite-pound-cake-232642,"['2 sticks (1 cup) unsalted butter, softened, plus additional for buttering pan', '3 cups sifted cake flour (not self-rising; sift before measuring) plus additional for dusting', '3/4 teaspoon salt', '3 cups sugar', '7 large eggs, at room temperature 30 minutes', '2 teaspoons vanilla', '1 cup heavy cream', 'a 10-inch tube pan (4 1/2 inches deep; not with a removable bottom) or a 10-inch bundt pan (3 1/4 inches deep; 3-qt capacity)']","['ted butter', 'ed cake flour', 'salt', 'sugar', 'eggs', 'vanilla', 'heavy cream', 'tube pan']",[0 0 0 ... 0 0 0]
Seared Savoy Cabbage with Mixed Sausages,seared-savoy-cabbage-with-mixed-sausages-51122440,"['Kosher salt', '1 (1 1/2-pound) head savoy cabbage, cut into 8 wedges with some core attached', '1 cup (1"") crustless bread cubes', '""1 teaspoon mustard powder (such as Colmans)"", 8 tablespoons olive oil, divided', '1 tablespoon Dijon mustard', '1 tablespoon white wine vinegar', 'Freshly ground black pepper', '2 pounds mixed sausages (such as sweet Italian, kielbasa, and smoked garlic)', '1 tablespoon chopped fresh tarragon']","['kosher salt', 'head savoy cabbage', 'bread cubes', 'mustard powder', 'dijon mustard', 'white wine vinegar', 'black pepper', 'mixed sausages', 'tarragon']",[0 0 0 ... 0 0 0]
Slow-Cooker Cuban Pulled-Pork Panini Sandwiches,cuban-pulled-pork-paninis,"['3 lb (1.6 kg) boneless pork butt roast, trimmed', '10 cloves garlic, minced', '1/2 cup (120 ml) freshly squeezed orange juice', '1/4 cup (60 ml) freshly squeezed lime juice', '2 tablespoons (30 ml) extra-virgin olive oil', '1 tablespoon (3 g) dried oregano', '2 teaspoons (5 g) ground cumin', '""1/2 tablespoon (18 g) House Seasoning (see Cooks Note)"", Salt and freshly ground black pepper, to taste', '1 (2-foot [61-cm] long) Cuban bread loaf, submarine sandwich roll, Italian bread loaf or French bread loaf', 'Prepared yellow mustard, as needed', '2 (8-oz [227-g]) packages sliced Swiss cheese, divided', '2 cups (286 g) sliced dill pickles', '1 (8-oz [227-g]) package thinly sliced ham', '4 tablespoons (60 ml) melted butter']","['pork butt roast', 'garlic', 'orange juice', 'ed lime juice', 'extra-virgin olive oil', 'oregano', 'cumin', 'house seasoning', 'salt', 'black pepper', 'cuba', 'bread loaf', 'yellow mustard', 'swiss cheese', 'dill pickles', 'ham', 'ted butter']",[0 0 0 ... 0 0 0]
"Beef, Shiitake, and Snow Pea Stir-Fry",beef-shiitake-and-snow-pea-stir-fry-361209,"['1 1-pound top sirloin steak, cut into 2-inch-long, 1/4-inch-thick slices', '1 tablespoon Asian sesame oil', '1 tablespoon minced peeled fresh ginger', '12 ounces fresh shiitake mushrooms, stemmed, thickly sliced', '8 ounces snow peas', '1 bunch green onions, sliced, divided', '1 cup fresh cilantro leaves, divided', '5 tablespoons hoisin sauce', '2 teaspoons chili-garlic sauce', '1/4 teaspoon Chinese five-spice powder']","['top sirloin steak', 'asian sesame oil', 'ginger', 'shiitake mushrooms', 'snow peas', 'green onions', 'cilantro', 's', 'hoisin sauce', 'chili-garlic sauce', 'chinese five-spice powder']",[0 0 0 ... 0 0 0]
Lattice-Topped Strawberry-Rhubarb Pie,lattice-topped-strawberry-rhubarb-pie-4459,"['3 cups all purpose flour', '2 1/2 teaspoons sugar', '3/4 teaspoon salt', '2/3 cup chilled solid vegetable shortening, cut into pieces', '1/2 cup plus 2 tablespoons (1 1/4 sticks) chilled unsalted butter, cut into pieces', '10 tablespoons (about) ice water', '3 1/2 cups 1/2-inch-thick slices trimmed rhubarb (1 1/2 pounds untrimmed)', '1 16-ounce container strawberries, hulled, halved (about 3 1/2 cups)', '1/2 cup (packed) golden brown sugar', '1/2 cup sugar', '1/4 cup cornstarch', '1 teaspoon ground cinnamon', '1/4 teaspoon salt', '1 large egg yolk beaten to blend with 1 teaspoon water (for glaze)', '1 teaspoon water']","['all purpose flour', 'sugar', 'salt', 'solid vegetable shortening', 'ted butter', 'ice water', 'rhubarb', 'strawberries', 'golden brown sugar', 'cornstarch', 'cinnamon', 'egg yolk', 'water']",[0 0 0 ... 0 0 0]
Pistachio-Crusted Scallops,pistachio-crusted-scallops-51117400,"['2 tablespoon unsalted butter', '2 tablespoons unsalted, shelled raw natural pistachios', '1 tablespoon chopped fresh chives', '1 tablespoon chopped fresh tarragon', '1 tablespoon chopped fresh thyme', '8 large sea scallops (side muscle removed)', 'kosher salt', 'freshly ground black pepper', '1 teaspoon grapeseed oil']","['ted butter', 'natural pistachios', 'chives', 'tarragon', 'thyme', 'sea scallops', 'kosher salt', 'black pepper', 'grapeseed oil']",[0 0 0 ... 0 0 0]
Naan,naan,"['1 tablespoon melted ghee or butter', '1/2 teaspoon active dry yeast', '1 teaspoon sugar', '1/2 cup (120 ml) warm water', '2 cups (255 g) white bread flour (see Note)', '1 cup (130 g) all-purpose flour, plus more for dusting', '1 1/2 teaspoons medium-grain kosher salt', '3/4 cup (175 ml) plain whole-milk yogurt', 'Nigella seeds, poppy seeds, cumin seeds, sesame seeds, or chopped garlic (optional)', 'Chopped fresh cilantro leaves', 'for garnish']","['ghee', 'butter', 'active', 'yeast', 'sugar', 'water', 'white bread flour', 'all-purpose flour', 'in kosher salt', 'whole-milk yogurt', 'nigella seed', 'cilantro leaves']",[0 0 0 ... 0 0 0]
Baked Three-Cheese Onion Dip with Chive and Pepperoncini,baked-three-cheese-onion-dip-with-chive-and-peperoncini,"['2 tablespoons vegetable oil', '1 medium onion, finely chopped', 'Kosher salt', '8 ounces cream cheese, room temperature', '1/2 cup mayonnaise', '2 teaspoons cornstarch', '4 ounces sharp white cheddar, coarsely grated (about 1 cup), divided', '2 ounces Monterey Jack, coarsely grated (about 1/2 cup), divided', 'Freshly ground black pepper', '2 tablespoons finely chopped chives', '2 tablespoons finely chopped peperoncini', 'Crackers and/or tortilla chips (for serving)']","['vegetable oil', 'onion', 'kosher salt', 'cream cheese', 'mayonnaise', 'cornstarch', 'white cheddar', 'monterey jack', 'black pepper', 'chives', 'peperoncini', 'cracker', 'tortilla chips']",[0 0 0 ... 0 0 0]
Tomato and Cheddar Pie,tomato-and-cheddar-pie-366750,"['2 cups all-purpose flour', '1 1/2 teaspoons baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon kosher salt', '6 tablespoons (3/4 stick) chilled unsalted butter, cut into 1/2"" cubes', '1 cup buttermilk', '2 pounds large ripe tomatoes, cored and cut into 1/4"" slices', '2 1/2 cups coarsely grated extra-sharp cheddar (8-9 ounces)', '1/4 cup finely grated Parmesan (1/2 ounce)', '1 scallion, trimmed, chopped', '1/2 cup mayonnaise', '2 tablespoons chopped fresh dill', '1 tablespoon apple cider vinegar', '2 teaspoons sugar', '3/4 teaspoon kosher salt', '1/2 teaspoons freshly ground black pepper', '1 1/2 tablespoons cornmeal', 'Use a 9""-diameter glass or ceramic pie dish']","['all-purpose flour', 'baking powder', 'baking soda', 'kosher salt', 'ted butter', 'buttermilk', 'e tomatoes', 'extra', 'p cheddar', 'parmesan', 'scallion', 'mayonnaise', 'dill', 'apple cider vinegar', 'sugar', 'black pepper', 'cornmeal']",[0 0 0 ... 0 0 0]
Butternut Squash and Mushroom Lasagna,butternut-squash-and-mushroom-lasagna-231091,"['1/4 cup (1/2 stick) unsalted butter', '2 1/2 cups chopped onions', '1/2 pound crimini (baby bella) mushrooms, sliced (about 3 cups)', '2 pounds butternut squash, peeled, seeded, cut into 1/4-inch-thick slices (about 5 1/2 cups)', '1 14-ounce can vegetable broth', '4 tablespoons chopped fresh thyme, divided', '4 tablespoons sliced fresh sage, divided', '3 15-ounce containers whole-milk ricotta cheese', '4 cups grated mozzarella cheese, divided', '2 cups grated Parmesan cheese, divided', '4 large eggs', 'Olive oil', '1 9-ounce package no-boil lasagna noodles']","['ted butter', 'onions', 'crimini', 'mushrooms', 'butternut squash', 'vegetable broth', 'thyme', 'sage', 'whole-milk ricotta cheese', 'mozzarella cheese', 'parmesan cheese', 'eggs', 'olive oil', 'no', 'boil lasagna noodles']",[0 0 0 ... 0 0 0]
Peanut Maple Fudge Bars,peanut-maple-fudge-bars-51238010,"['3/4 cup flour', '1/4 cup powdered sugar', '2 tablespoons unsweetened cocoa powder', 'Pinch of fine sea salt', '4 tablespoons (1/2 stick) melted salted butter', '10 ounces semisweet chocolate, chopped', '1/2 cup smooth peanut butter', '8 tablespoons (1 stick) salted butter', '2/3 cup sweetened condensed milk', '3/4 cup maple syrup', '1 cup (lightly packed) light brown sugar', '1/8 teaspoon salt', '3 tablespoons cream cheese', '3/4 cup lightly salted roasted peanuts']","['flour', 'ed sugar', 'ed cocoa powder', 'sea salt', 'ted salted butter', 'chocolate', 'peanut butter', 'salted butter', 'milk', 'maple syrup', 'brown sugar', 'salt', 'cream cheese', 'peanuts']",[0 0 0 ... 0 0 0]
